,age,education,spouse_education,children,religion,work,spouse_occupation,living_standard,media_exposure,contraceptive_method
985,35,4,4,4,0,0,1,4,0,3
1270,41,4,4,4,0,0,2,4,0,2
949,37,2,3,5,1,1,4,2,0,3
692,19,4,4,1,1,1,1,3,0,3
78,33,2,3,2,1,1,3,2,0,1
5,19,4,4,0,1,1,3,3,0,1
1048,33,1,2,0,1,0,3,3,0,1
784,36,4,4,4,1,1,1,4,0,3
925,32,3,4,5,0,1,3,4,0,3
883,28,3,3,4,1,1,3,3,0,3
1237,29,4,4,3,1,1,1,4,0,2
773,27,3,4,4,1,1,3,3,0,3
85,33,4,4,2,1,1,1,4,0,1
732,31,3,3,6,0,1,3,1,0,3
348,25,2,2,3,1,1,3,3,0,1
746,31,2,3,7,1,1,3,3,0,3
1350,16,2,3,1,1,1,3,1,0,3
1412,30,3,4,3,1,1,3,4,0,3
599,35,2,4,3,0,0,3,4,1,2
971,25,4,4,2,1,1,2,4,0,3
1058,30,1,1,7,1,1,2,3,0,1
657,28,4,4,1,1,1,3,2,0,3
1327,30,2,3,7,1,1,3,3,0,3
351,40,1,2,6,1,1,3,1,1,1
1096,24,3,4,2,1,1,2,4,0,1
1234,34,4,4,4,1,1,2,4,0,2
637,27,3,2,5,1,1,2,4,0,2
346,33,4,4,1,0,0,3,4,0,1
134,26,4,4,1,1,1,1,3,0,1
1062,27,3,3,4,1,1,2,4,0,1
893,38,3,3,2,0,1,3,4,0,3
879,35,3,4,5,1,1,1,4,0,3
72,29,2,3,1,1,1,1,1,0,1
306,44,1,2,2,1,1,2,4,0,1
760,26,4,4,1,1,1,3,3,0,3
184,35,3,4,5,1,0,2,2,0,1
1271,35,1,2,9,1,0,3,1,0,2
1065,36,1,4,1,1,1,3,3,0,1
911,35,2,4,6,1,1,3,4,0,3
209,34,2,3,3,1,0,3,2,0,1
696,42,4,4,7,1,1,2,4,0,3
1416,28,4,3,2,1,1,3,2,0,3
1438,34,2,4,6,1,1,3,3,0,3
1014,25,4,4,2,1,1,3,2,0,1
1436,30,2,3,5,1,0,3,4,0,3
1215,35,4,4,3,1,1,1,4,0,2
1236,44,1,4,2,1,1,1,3,0,2
1464,23,2,2,1,1,1,2,4,0,3
145,33,4,4,3,1,1,1,4,0,1
136,24,4,4,2,1,1,3,3,0,1
975,29,4,4,3,1,1,3,4,0,3
178,45,2,4,2,1,0,2,4,0,1
130,48,3,4,3,1,1,3,1,0,1
613,46,4,4,3,0,0,1,4,0,2
522,25,3,1,4,1,1,3,1,0,2
1126,31,4,4,2,1,1,1,2,0,1
1244,34,3,4,3,0,1,1,4,0,2
627,44,4,4,4,1,1,1,4,0,2
780,25,4,4,2,1,1,1,3,0,3
1228,45,4,4,3,1,1,1,4,0,2
328,49,4,4,4,1,1,3,4,0,1
1397,22,3,3,2,1,1,3,1,0,3
66,44,4,2,8,1,1,3,3,0,1
944,25,2,2,1,1,1,3,1,0,3
240,19,3,4,1,1,1,2,3,0,1
246,34,4,4,2,1,0,1,3,0,1
81,49,4,4,6,0,0,1,4,0,1
120,38,1,2,1,1,1,2,4,1,1
683,35,4,4,1,0,1,1,4,0,3
274,23,3,4,2,1,0,2,3,0,1
982,36,4,4,3,0,1,2,4,0,3
1413,22,3,3,3,1,1,3,3,0,3
55,20,2,2,2,1,1,2,2,1,1
643,27,2,2,5,1,1,3,1,0,3
1208,40,1,1,0,1,1,3,2,0,1
1297,35,4,4,5,1,1,1,4,0,2
736,19,3,3,3,1,1,2,3,0,3
186,20,2,4,0,1,1,3,2,0,1
1027,41,2,2,5,0,1,2,2,0,1
67,30,2,3,3,1,1,3,1,0,1
1374,33,3,3,4,1,0,2,3,0,3
610,48,4,4,6,0,1,2,4,0,2
600,31,4,2,2,0,1,1,3,0,2
1059,25,4,4,1,1,1,3,4,0,1
206,26,2,4,0,1,1,3,1,0,1
1324,38,4,3,9,1,1,3,3,0,3
906,28,4,4,4,1,1,2,3,0,3
817,23,4,4,1,1,1,3,3,0,3
216,42,3,2,1,1,1,3,3,0,1
965,22,2,2,3,1,0,3,3,0,3
1355,24,4,4,1,1,1,1,4,0,3
603,26,4,4,2,0,1,1,4,0,2
229,28,3,4,0,1,1,3,2,0,1
406,24,2,2,3,1,1,2,4,0,1
177,30,2,4,4,1,0,1,4,0,1
554,28,4,4,4,1,1,1,3,0,2
682,35,4,4,4,1,1,1,4,0,3
945,23,2,3,2,1,0,3,2,0,3
728,22,4,4,1,1,1,3,3,0,3
448,36,4,4,3,0,1,1,3,0,2
1195,28,4,4,5,1,0,3,4,0,1
234,39,1,1,5,1,0,3,1,1,1
586,24,4,4,1,1,1,1,4,0,2
98,17,2,2,3,1,1,3,1,0,1
1103,31,3,3,1,1,0,3,4,0,1
334,27,4,4,1,0,1,3,4,0,1
764,26,3,3,3,1,1,3,3,0,3
282,22,4,4,0,1,1,1,4,0,1
1273,26,3,3,2,1,1,1,3,0,2
410,45,2,3,4,1,0,2,4,0,1
749,23,4,4,2,1,1,3,4,0,3
1064,29,3,4,2,1,1,1,3,0,1
1023,23,4,4,1,1,0,3,3,0,1
257,44,1,2,7,1,1,3,4,0,1
367,23,4,4,1,1,1,2,3,0,1
991,28,3,4,3,1,1,1,4,0,3
83,28,4,4,0,0,0,1,4,0,1
1001,41,3,2,11,1,1,2,3,0,1
304,23,4,4,1,1,0,2,4,0,1
1117,26,4,4,0,1,1,3,4,0,1
1427,31,4,4,4,1,0,3,4,0,3
1447,34,4,4,2,0,0,2,4,0,3
910,32,1,3,4,1,1,3,3,0,3
969,38,4,4,2,1,1,3,4,0,3
235,27,2,3,1,1,0,3,4,0,1
956,20,2,2,1,1,1,3,2,0,3
172,22,2,4,1,1,1,2,4,0,1
767,44,4,4,8,1,1,2,4,0,3
19,39,2,1,5,1,1,2,1,1,1
525,22,3,4,1,1,1,4,4,0,2
200,42,1,4,11,0,1,2,2,1,1
847,25,3,3,1,1,1,2,1,0,3
391,33,4,4,5,1,1,3,4,0,1
68,23,3,4,2,1,1,3,4,0,1
611,35,4,4,3,0,0,3,4,0,2
1000,35,2,2,6,1,0,3,1,1,1
1394,18,3,3,1,1,1,2,2,0,3
1465,25,2,4,3,1,1,1,3,0,3
20,26,3,4,1,1,0,4,1,0,1
772,39,4,4,2,0,1,1,3,0,3
476,44,4,4,6,0,1,1,3,0,2
1261,23,4,4,1,0,1,1,4,0,2
279,48,4,4,3,1,1,2,4,0,1
124,44,2,1,3,1,0,3,2,0,1
705,20,2,3,1,1,1,2,1,0,3
650,27,2,4,1,1,1,1,4,0,3
553,47,4,4,4,1,0,1,4,0,2
834,41,1,4,9,1,1,2,1,0,3
491,40,4,4,6,0,0,1,4,0,2
376,40,3,3,3,1,1,2,2,1,1
250,34,4,4,3,0,1,1,2,0,1
228,47,1,4,8,1,1,3,3,0,1
40,28,1,1,3,1,1,3,1,0,1
428,30,2,4,3,1,1,3,4,0,2
278,44,3,4,6,1,1,3,4,0,1
708,25,4,4,3,1,1,1,4,0,3
336,34,4,3,0,0,0,3,3,0,1
95,41,1,3,10,1,1,2,3,1,1
968,35,3,4,5,1,1,1,4,0,3
800,32,2,2,8,1,1,2,1,0,3
30,31,3,4,2,1,1,1,4,0,1
602,45,4,4,3,0,1,2,4,0,2
1241,23,3,1,1,1,0,3,3,0,2
1285,42,4,4,3,1,0,1,4,0,2
452,25,3,3,1,1,1,3,1,0,2
502,37,2,3,7,1,1,3,4,0,2
1149,36,4,3,3,1,0,3,2,0,1
1186,28,4,4,3,0,0,1,4,0,1
417,35,4,4,4,1,1,1,4,0,2
317,30,3,3,5,1,0,3,4,0,1
1167,48,3,4,8,1,1,3,3,0,1
630,45,4,4,4,1,1,1,4,0,2
1409,28,4,4,4,1,1,3,4,0,3
7,21,3,3,1,1,0,3,2,0,1
957,40,2,3,5,1,1,3,3,0,3
842,23,4,4,2,1,0,2,4,0,3
594,44,4,4,4,1,1,1,4,0,2
882,22,3,4,1,1,1,3,3,0,3
704,22,3,2,2,1,1,2,1,0,3
715,43,3,3,5,1,0,3,3,0,3
861,38,3,4,7,1,1,3,2,0,3
396,49,1,3,6,1,1,2,4,0,1
280,43,2,3,6,1,0,3,3,0,1
1400,27,3,4,4,1,1,3,4,0,3
1010,26,2,4,3,1,1,3,4,0,1
1055,43,1,2,8,1,1,2,2,1,1
245,34,4,4,2,0,1,1,4,0,1
898,38,4,4,2,1,0,1,4,0,3
1362,29,1,2,1,1,1,3,3,0,3
1305,36,3,3,4,1,1,1,3,0,2
15,26,2,4,0,1,1,4,1,0,1
1069,24,2,3,2,1,1,3,1,0,1
1021,41,2,4,1,1,1,2,3,0,1
963,20,3,4,1,0,1,2,4,0,3
948,32,3,4,4,1,1,3,2,0,3
1428,41,4,3,5,1,0,3,4,0,3
1388,31,4,4,2,0,1,1,4,0,3
1098,25,1,3,1,1,1,4,2,0,1
579,24,4,4,2,1,0,1,3,0,2
1144,33,4,4,3,0,0,1,3,0,1
853,22,3,4,1,1,0,1,4,0,3
303,24,2,4,2,1,1,3,4,0,1
1250,27,4,4,1,1,0,3,3,0,2
723,21,4,4,1,1,1,2,3,0,3
967,31,4,4,3,1,0,1,4,0,3
626,32,4,4,2,0,0,2,4,0,2
500,36,2,1,6,1,1,2,1,0,2
251,33,4,4,5,1,1,3,3,0,1
